Freq,Amp
81.8363,0
82.3353,0
82.8343,0
83.3333,0
83.8323,0
84.3313,0
84.8303,0
85.3293,0
85.8283,0
86.3273,0
86.8263,0
87.3253,0
87.8244,0
88.3234,0
88.8224,0
89.3214,0
89.8204,0
90.3194,0
90.8184,0
91.3174,0
91.8164,0
92.3154,0
92.8144,0
93.3134,0
93.8124,0
94.3114,0
94.8104,0
95.3094,0
95.8084,0
96.3074,0
96.8064,0
97.3054,0
97.8044,0
98.3034,0
98.8024,0
99.3014,0
99.8004,0
100.299,0
100.798,0
101.297,0
101.796,0
102.295,0
102.794,0
103.293,0
103.792,0
104.291,0
104.79,0
105.289,0
105.788,0
106.287,0
106.786,0
107.285,0
107.784,0
108.283,0
108.782,0
109.281,0
109.78,0
110.279,0
110.778,0
111.277,0
111.776,0
112.275,0
112.774,0
113.273,0
113.772,0
114.271,0
114.77,0
115.269,0
115.768,0
116.267,0
116.766,0
117.265,0
117.764,0
118.263,0
118.762,0
119.261,0
119.76,0
120.259,0
120.758,0
121.257,0
121.756,0
122.255,0
122.754,0
123.253,0
123.752,0
124.251,0
124.75,0
-124.75,0
-124.251,0
-123.752,0
-123.253,0
-122.754,0
-122.255,0
-121.756,0
-121.257,0
-120.758,0
-120.259,0
-119.76,0
-119.261,0
-118.762,0
-118.263,0
-117.764,0
-117.265,0
-116.766,0
-116.267,0
-115.768,0
-115.269,0
-114.77,0
-114.271,0
-113.772,0
-113.273,0
-112.774,0
-112.275,0
-111.776,0
-111.277,0
-110.778,0
-110.279,0
-109.78,0
-109.281,0
-108.782,0
-108.283,0
-107.784,0
-107.285,0
-106.786,0
-106.287,0
-105.788,0
-105.289,0
-104.79,0
-104.291,0
-103.792,0
-103.293,0
-102.794,0
-102.295,0
-101.796,0
-101.297,0
-100.798,0
-100.299,0
-99.8004,0
-99.3014,0
-98.8024,0
-98.3034,0
-97.8044,0
-97.3054,0
-96.8064,0
-96.3074,0
-95.8084,0
-95.3094,0
-94.8104,0
-94.3114,0
-93.8124,0
-93.3134,0
-92.8144,0
-92.3154,0
-91.8164,0
-91.3174,0
-90.8184,0
-90.3194,0
-89.8204,0
-89.3214,0
-88.8224,0
-88.3234,0
-87.8244,0
-87.3253,0
-86.8263,0
-86.3273,0
-85.8283,0
-85.3293,0
-84.8303,0
-84.3313,0
-83.8323,0
-83.3333,0
-82.8343,0
-82.3353,0
-81.8363,0
-81.3373,0
-80.8383,0
-80.3393,0
-79.8403,0
-79.3413,0
-78.8423,0
-78.3433,0
-77.8443,0
-77.3453,0
-76.8463,0
-76.3473,0
-75.8483,0
-75.3493,0
-74.8503,0
-74.3513,0
-73.8523,0
-73.3533,0
-72.8543,0
-72.3553,0
-71.8563,0
-71.3573,0
-70.8583,0
-70.3593,0
-69.8603,0
-69.3613,0
-68.8623,0
-68.3633,0
-67.8643,0
-67.3653,0
-66.8663,0
-66.3673,0
-65.8683,0
-65.3693,0
-64.8703,0
-64.3713,0
-63.8723,0
-63.3733,0
-62.8743,0
-62.3752,0
-61.8762,0
-61.3772,0
-60.8782,0
-60.3792,0
-59.8802,0
-59.3812,0
-58.8822,0
